CODIGO;CUENTA;SALDO ANTERIOR;DEBITO;CREDITO;SALDO FINAL
1;ACTIVOS;40459689303,000;6588716797,520;3860882239,840;43187523860,680
11;EFECTIVO Y EQUIVALENTES AL EFECTIVO;15456081399,870;3244374710,810;452842821,290;18247613289,390
1110;DEPÓSITOS EN INSTITUCIONES FINANCIERAS;15376759214,870;3227679710,810;452842821,290;18151596104,390
111005;Cuenta corriente;8631733829,960;2568893963,870;264227401,290;10936400392,540
111006;Cuenta de ahorro;6745025384,910;658785746,940;188615420,000;7215195711,850
1132;EFECTIVO DE USO RESTRINGIDO;79322185,000;16695000,000;0,000;96017185,000
113210;Depósitos en instituciones financieras;79322185,000;16695000,000;0,000;96017185,000
13;CUENTAS POR COBRAR;6312319398,020;3112776245,870;3001707736,870;6423387907,020
1305;IMPUESTOS, RETENCIÓN EN LA FUENTE Y ANTICIPOS DE IMPUESTOS;4278161881,550;1906231852,176;1857265437,176;4327128296,550
130507;Impuesto predial unificado;4161306835,550;1887952382,176;1838985967,176;4210273250,550
130508;Impuesto de industria y comercio;0,000;1405470,000;1405470,000;0,000
130521;Impuesto de avisos, tableros y vallas;0,000;122000,000;122000,000;0,000
130535;Sobretasa a la gasolina;0,000;16695000,000;16695000,000;0,000
130562;Sobretasa bomberil;116855046,000;57000,000;57000,000;116855046,000
1311;CONTRIBUCIONES, TASAS E INGRESOS NO TRIBUTARIOS;807437,000;155136512,824;155136512,824;807437,000
131113;Estampillas;535137,000;902941,000;902941,000;535137,000
131118;Licencias;272300,000;2480496,000;2480496,000;272300,000
131126;Porcentaje y sobretasa ambiental al impuesto predial;0,000;151649075,824;151649075,824;0,000
131190;Otras contribuciones, tasas e ingresos no tributarios;0,000;104000,000;104000,000;0,000
1318;PRESTACIÓN DE SERVICIOS PÚBLICOS;146224927,400;7073287,000;7073287,000;146224927,400
131802;Servicio de acueducto;54495701,760;2767477,000;2767477,000;54495701,760
131803;Servicio de alcantarillado;14808961,500;677584,000;677584,000;14808961,500
131804;Servicio de aseo;76920264,140;3628226,000;3628226,000;76920264,140
1337;TRANSFERENCIAS POR COBRAR;1886586234,540;1041034593,870;982232499,870;1945388328,540
133701;Sistema General de Seguridad Social en Salud;869084679,000;6882132,000;6882132,000;869084679,000
133702;Sistema General de Regalías;0,000;212324391,870;212324391,870;0,000
133703;Sistema General de Participaciones - Participación para salud;322780640,800;322780620,000;322780620,000;322780640,800
133705;Sistema General de Participaciones - Participación para propósito general;295622349,750;244351766,000;244351766,000;295622349,750
133707;Sistema General de Participaciones - Programas de alimentación escolar;51490819,720;51490764,000;51490764,000;51490819,720
133710;Sistema General de Participaciones - Participación para agua potable y saneamiento básico;347607745,270;203204920,000;144402826,000;406409839,270
1384;OTRAS CUENTAS POR COBRAR;538918,000;3300000,000;0,000;3838918,000
138490;Otras cuentas por cobrar;538918,000;3300000,000;0,000;3838918,000
1385;CUENTAS POR COBRAR DE DIFÍCIL RECAUDO;-0,470;0,000;0,000;-0,470
138590;Otras cuentas por cobrar de difícil recaudo;-0,470;0,000;0,000;-0,470
15;INVENTARIOS;0,000;28400000,000;0,000;28400000,000
1525;EN TRÁNSITO;0,000;28400000,000;0,000;28400000,000
152590;Otros inventarios en tránsito;0,000;28400000,000;0,000;28400000,000
16;PROPIEDADES, PLANTA Y EQUIPO;6340979277,000;0,000;0,000;6340979277,000
1605;TERRENOS;72121000,000;0,000;0,000;72121000,000
160502;Rurales;72121000,000;0,000;0,000;72121000,000
1615;CONSTRUCCIONES EN CURSO;2670578681,000;0,000;0,000;2670578681,000
161590;Otras construcciones en curso;2670578681,000;0,000;0,000;2670578681,000
1640;EDIFICACIONES;2149706048,000;0,000;0,000;2149706048,000
164006;Mataderos;1981716735,000;0,000;0,000;1981716735,000
164015;Casetas y campamentos;167989313,000;0,000;0,000;167989313,000
1645;PLANTAS, DUCTOS Y TÚNELES;1210394939,000;0,000;0,000;1210394939,000
164501;Plantas de generación;194900000,000;0,000;0,000;194900000,000
164502;Plantas de tratamiento;1015494939,000;0,000;0,000;1015494939,000
1655;MAQUINARIA Y EQUIPO;5580000,000;0,000;0,000;5580000,000
165506;Equipo de recreación y deporte;5580000,000;0,000;0,000;5580000,000
1660;EQUIPO MÉDICO Y CIENTÍFICO;32700000,000;0,000;0,000;32700000,000
166003;Equipo de urgencias;32700000,000;0,000;0,000;32700000,000
1665;MUEBLES, ENSERES Y EQUIPO DE OFICINA;237630997,000;0,000;0,000;237630997,000
166501;Muebles y enseres;199540943,000;0,000;0,000;199540943,000
166502;Equipo y máquina de oficina;38090054,000;0,000;0,000;38090054,000
1670;EQUIPOS DE COMUNICACIÓN Y COMPUTACIÓN;180001754,000;0,000;0,000;180001754,000
167001;Equipo de comunicación;60776000,000;0,000;0,000;60776000,000
167002;Equipo de computación;119225754,000;0,000;0,000;119225754,000
1675;EQUIPOS DE TRANSPORTE, TRACCIÓN Y ELEVACIÓN;170957294,000;0,000;0,000;170957294,000
167502;Terrestre;170957294,000;0,000;0,000;170957294,000
1680;EQUIPOS DE COMEDOR, COCINA, DESPENSA Y HOTELERÍA;37362420,000;0,000;0,000;37362420,000
168002;Equipo de restaurante y cafetería;37362420,000;0,000;0,000;37362420,000
1681;BIENES DE ARTE Y CULTURA;47789800,000;0,000;0,000;47789800,000
168106;Elementos musicales;47789800,000;0,000;0,000;47789800,000
1685;DEPRECIACIÓN ACUMULADA DE PROPIEDADES, PLANTA Y EQUIPO (CR);-473843656,000;0,000;0,000;-473843656,000
